filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
217.png	297	59	42.0422	127	38.8137	29	72.3491
219.png	298	59	42.1845	127	37.8292	29	72.5628
221.png	299	68	39.0928	122	40.1623	27	63.8043
224.png	300	63	38.5735	124	40.2519	28	67.1858
228.png	301	63	37.7425	124	42.8812	28	66.181
230.png	302	63	38.1825	122	44.3655	28	66.1716
2349.png	303	162	69.7034	152	63.3752	25	5.246
2363.png	304	102	54.6382	164	46.3106	24	3.7089
2372.png	305	109	50.4254	154	41.1077	25	6.1173
2374.png	306	96	51.2481	185	37.3957	24	9.648
2376.png	307	104	51.2129	158	43.5156	25	4.6147
2379.png	308	103	52.5303	166	42.6706	25	5.8072
2382.png	309	73	54.2299	195	38.0995	25	11.1815
2385.png	310	150	48.5324	147	49.9915	24	3.4647
2387.png	311	102	45.4172	160	36.8019	26	6.2679
2393.png	312	120	46.4487	158	36.904	26	5.3946
24.png	313	0	0.04049	0	10.3258	0	3.4419
2408.png	314	82	47.9594	226	29.6995	20	64.268
2410.png	315	86	58.5601	223	37.2161	21	62.4549
2412.png	316	89	23.4381	175	30.6389	19	38.4076
2417.png	317	48	38.9119	230	32.4015	18	73.8737
2420.png	318	77	45.1691	219	33.0657	20	54.9792
2422.png	319	42	59.0981	217	37.7623	20	81.748
2424.png	320	39	38.6489	223	36.8153	17	88.4267
2426.png	321	52	46.1875	216	29.5014	20	89.4286
2429.png	322	61	44.1181	234	31.782	19	80.2464
2431.png	323	13	35.6841	218	30.3446	150	97.5433
2434.png	324	35	42.5295	233	30.88	18	95.9833
2437.png	325	58	46.4958	233	31.8444	18	92.1618
2438.png	326	41	45.374	226	33.8388	18	89.9246
2440.png	327	32	45.1384	223	37.2888	18	103.9217
2443.png	328	38	42.7943	231	33.5142	18	85.0763
2446.png	329	45	56.5777	217	33.845	19	86.024
245.png	330	31	50.2556	170	54.7541	22	61.6822
2453.png	331	54	38.126	226	33.0851	18	64.9846
2455.png	332	45	44.1114	219	34.6445	18	88.8777
2456.png	333	54	45.6	213	38.063	18	88.2981
2458.png	334	44	40.1392	231	33.8101	18	89.1691
2461.png	335	54	42.3647	248	32.7101	16	66.9459
2463.png	336	51	47.7691	248	45.3345	16	82.3918
2465.png	337	41	41.7441	233	33.1952	18	87.1154
2467.png	338	44	42.1664	233	34.8312	18	85.866
2470.png	339	47	43.2718	229	36.0484	18	81.336
2472.png	340	37	41.8837	236	33.0666	19	88.4397
2475.png	341	100	52.8965	206	37.9599	21	43.7808
2478.png	342	38	39.5083	233	32.9861	19	85.4968
2480.png	343	49	45.0958	212	37.5869	19	85.232
2485.png	344	84	47.895	220	35.7532	18	78.519
2490.png	345	37	71.0773	208	38.3742	21	92.4101
2492.png	346	80	56.1545	211	35.0653	20	54.1546
2496.png	347	46	50.4744	225	35.1847	20	79.646
2498.png	348	51	48.3302	223	34.5749	20	78.5009
250.png	349	24	51.7967	162	58.6234	24	64.4404
2515.png	350	88	67.6641	212	36.879	21	69.3973
2517.png	351	140	49.0254	144	40.5648	23	28.6298
2519.png	352	118	48.8691	153	40.8597	23	8.5356
2521.png	353	94	39.4128	146	39.9473	21	6.2978
2523.png	354	117	36.4537	142	38.5381	21	7.717
2525.png	355	90	40.389	207	40.7429	20	15.2482
2527.png	356	105	38.3983	174	38.6988	20	5.8461
2529.png	357	115	36.9574	142	35.3222	22	4.897
2531.png	358	124	38.0825	138	37.3544	22	4.7142
2535.png	359	84	38.8414	228	53.1933	18	41.2465
2539.png	360	133	35.3861	134	36.956	22	3.9209
2543.png	361	133	38.2338	129	36.0917	22	3.9542
2552.png	362	123	40.4909	148	38.5058	22	3.5915
2554.png	363	118	44.5558	154	38.0488	22	3.19
2562.png	364	116	45.7155	138	36.7047	22	4.7097
2564.png	365	119	48.107	136	34.4193	22	4.6698
2567.png	366	115	47.6349	143	35.9954	21	4.7524
2570.png	367	112	50.5651	159	36.9547	23	3.7072
2573.png	368	118	51.243	156	36.3325	23	3.3588
2576.png	369	93	46.8327	144	38.0421	23	7.0164
2580.png	370	98	46.1964	141	35.9919	23	6.6121
2582.png	371	120	39.498	151	33.1218	22	3.3061
2583.png	372	116	32.1365	145	32.0759	23	3.4842
2585.png	373	117	32.9995	149	31.9507	23	3.7253
2588.png	374	115	37.3719	146	34.4971	23	4.5469
2589.png	375	112	36.9276	150	36.5276	23	4.7304
259.png	376	117	54.6141	219	56.2434	29	52.8295
2591.png	377	116	36.8695	142	35.6665	22	4.5196
2596.png	378	119	41.8281	157	30.0231	21	6.0073
2597.png	379	119	41.6151	149	30.0928	21	5.8062
2599.png	380	124	40.5917	147	30.3012	22	5.4234
2601.png	381	116	37.7791	146	37.2695	21	5.823
2604.png	382	119	37.7517	148	36.6261	21	4.134
2605.png	383	123	37.0921	146	35.7848	22	4.2477
2611.png	384	120	37.9414	143	35.0809	22	3.9434
2633.png	385	87	39.455	60	84.6091	17	72.9941
2638.png	386	87	35.4043	51	77.2711	16	61.7557
264.png	387	108	57.4095	215	54.2832	29	62.4821
2661.png	388	104	55.3108	185	34.0445	13	49.7437
2664.png	389	101	54.647	185	35.0478	13	49.5403
2665.png	390	101	54.7633	185	35.7014	13	49.951
267.png	391	66	55.0858	170	61.7237	22	66.3918
2670.png	392	94	53.8494	185	34.5932	13	54.7444
2672.png	393	93	53.3404	186	36.3163	13	53.2702
2676.png	394	88	52.5182	186	35.1496	13	54.6721
2679.png	395	86	51.8771	187	35.3028	13	56.0552
2683.png	396	82	50.5302	187	37.3238	13	57.3281
2685.png	397	80	51.4855	187	37.567	13	59.4518
2687.png	398	79	50.1768	189	37.8889	13	58.9814
269.png	399	52	51.4939	178	55.137	24	68.4859
2690.png	400	80	49.3332	185	37.9286	13	60.3925
270.png	401	63	54.6714	175	59.0854	23	67.3076
272.png	402	40	56.0066	153	61.1067	25	77.7318
28.png	403	73	38.2265	102	39.1908	29	55.5432
2866.png	404	120	44.8808	145	86.751	18	58.1505
2868.png	405	123	44.7098	139	86.4976	18	56.6104
2871.png	406	127	57.7382	63	60.0788	25	47.9084
2873.png	407	127	57.5298	64	60.611	25	47.053
2876.png	408	129	57.8166	64	61.5455	25	46.8427
2878.png	409	127	58.3536	64	62.4187	25	49.9853
2881.png	410	127	57.9967	63	61.6283	25	51.6267
2884.png	411	127	58.5174	63	62.6137	25	49.7106
2887.png	412	127	58.4813	64	62.7458	25	50.0336
2889.png	413	127	58.4598	64	62.6174	25	49.1665
2893.png	414	127	58.5442	64	62.219	25	47.9021
2895.png	415	127	58.7212	64	62.062	25	48.8236
2897.png	416	127	58.9141	65	62.6898	25	49.5286
2901.png	417	127	58.9192	65	64.1035	25	50.5712
2903.png	418	126	58.4287	66	62.9323	25	46.8787
2905.png	419	124	60.0434	68	62.7907	24	46.1337
2908.png	420	133	54.0598	63	65.1841	24	33.5898
2911.png	421	123	64.2351	72	70.6467	24	53.0604
2913.png	422	123	64.4414	51	63.9196	32	64.385
2917.png	423	120	66.3017	52	64.956	31	65.1346
2922.png	424	26	44.5676	115	89.6978	166	84.4035
2924.png	425	63	49.9527	116	67.491	21	80.1799
2926.png	426	63	49.9379	117	68.1123	21	80.4119
2928.png	427	63	50.4617	117	71.4215	21	82.1519
2929.png	428	87	52.0497	68	63.4438	20	78.4077
3019.png	429	152	55.955	164	61.1016	20	17.8472
3021.png	430	161	49.2779	112	52.7817	20	11.4361
3037.png	431	140	64.0617	56	53.6929	26	71.1962
3040.png	432	107	45.6911	73	59.1267	24	58.8024
3042.png	433	107	45.99	73	59.8028	24	56.1021
3045.png	434	105	45.7661	72	59.2551	24	55.2095
3047.png	435	147	64.4011	55	56.7253	26	73.898
3050.png	436	153	61.0013	53	47.2618	26	71.6646
3053.png	437	151	60.7473	53	47.9299	26	74.735
3062.png	438	107	47.4238	73	61.2697	24	62.3132
3064.png	439	143	60.5735	52	52.6652	27	74.6866
3066.png	440	141	60.5171	55	53.3417	26	74.8025
3069.png	441	143	60.1152	56	53.4484	26	73.7728
3075.png	442	100	43.9765	66	61.4289	29	47.835
3078.png	443	136	62.7568	55	58.1759	28	72.5232
3079.png	444	132	65.0411	54	57.7314	29	74.8018
3081.png	445	144	65.4311	53	55.2526	29	70.4612
3084.png	446	137	65.1118	55	61.8446	27	75.8378
3087.png	447	138	66.2175	52	50.383	30	81.8686
3088.png	448	104	45.0646	73	53.6921	24	59.9944
3090.png	449	105	44.7794	73	52.8424	24	54.5364
3092.png	450	105	44.8804	72	52.6473	24	54.4472
3094.png	451	145	65.1328	48	58.8383	27	78.4668
3098.png	452	153	64.9563	47	55.9323	28	76.1057
3099.png	453	153	64.4911	47	55.4739	27	75.1509
3101.png	454	148	65.0707	48	54.5775	28	76.5121
3103.png	455	147	65.2029	48	56.9427	28	77.2889
3107.png	456	103	44.4553	64	54.1337	24	53.1226
3111.png	457	37	42.6973	143	85.2981	144	74.253
3113.png	458	18	28.4262	121	87.9924	152	73.5665
3115.png	459	137	58.6666	46	50.0018	31	69.6331
3118.png	460	131	60.5813	48	58.333	31	74.1558
3120.png	461	134	57.8123	47	51.6507	30	67.6497
3122.png	462	134	57.5844	48	53.3089	29	70.9205
3124.png	463	134	57.733	48	54.8216	29	68.2387
3126.png	464	133	58.0586	49	54.5934	29	73.238
3129.png	465	132	58.3563	49	57.1115	29	73.4113
3133.png	466	130	59.5256	48	52.9101	29	72.45
3141.png	467	107	59.4279	63	63.7686	26	78.4278
3142.png	468	102	59.4967	66	65.0601	26	78.6083
3145.png	469	115	61.298	55	62.3868	27	71.5068
3147.png	470	122	63.3538	52	64.8541	29	74.8205
3151.png	471	139	58.5256	46	46.1991	29	72.9466
3153.png	472	133	61.0149	51	56.5656	29	76.3835
3156.png	473	134	60.3669	49	55.4977	29	72.1655
3159.png	474	107	42.056	61	48.1836	24	49.9376
3162.png	475	107	42.4722	64	48.3073	23	52.7777
3165.png	476	103	44.957	65	56.3327	23	59.3382
3166.png	477	107	42.3208	64	47.8891	23	52.4517
3168.png	478	107	43.4636	65	51.116	24	49.4565
3170.png	479	95	45.5036	71	71.2919	24	66.8469
3174.png	480	105	45.1759	68	53.3161	24	56.7864
3175.png	481	103	45.8739	68	57.7669	23	53.2286
3177.png	482	151	55.7298	45	53.704	38	51.8678
3179.png	483	107	62.2019	54	81.6913	34	77.8754
3181.png	484	88	64.3116	59	95.8308	33	84.5874
3184.png	485	109	65.8349	54	92.2455	34	85.4039
3186.png	486	40	43.1346	79	66.8172	19	61.7372
3188.png	487	42	45.5354	87	68.6217	21	62.7183
3191.png	488	42	51.971	88	74.6702	22	70.4422
3194.png	489	48	55.5458	81	73.8529	23	66.2224
32.png	490	72	38.9858	102	40.37	29	62.3919
3229.png	491	103	67.928	51	78.0586	29	61.5711
3265.png	492	111	53.7316	126	45.9416	31	47.2618
3271.png	493	91	51.2185	126	72.5322	35	91.0668
3276.png	494	123	56.5918	105	46.4935	29	42.2103
3282.png	495	112	84.5562	126	80.4445	27	103.9142
3287.png	496	95	90.4126	129	82.9107	26	104.8606
3293.png	497	80	54.0052	69	69.0958	51	80.4927
3297.png	498	117	51.4564	63	59.2519	140	76.9687
3299.png	499	104	50.6024	95	56.0685	127	76.3984
3304.png	500	169	28.0942	60	26.0671	17	20.2077
3311.png	501	171	49.4124	57	53.7551	24	49.0311
